Source,Target,Type,Id
1,16,Undirected,0
1,21,Undirected,1
1,26,Undirected,2
1,30,Undirected,3
2,14,Undirected,4
2,41,Undirected,5
3,10,Undirected,6
3,15,Undirected,7
3,17,Undirected,8
3,20,Undirected,9
3,23,Undirected,10
3,39,Undirected,11
3,40,Undirected,12
3,43,Undirected,13
4,22,Undirected,14
4,24,Undirected,15
4,33,Undirected,16
4,36,Undirected,17
4,45,Undirected,18
5,14,Undirected,19
5,15,Undirected,20
5,25,Undirected,21
5,31,Undirected,22
6,8,Undirected,23
6,30,Undirected,24
6,38,Undirected,25
7,16,Undirected,26
7,26,Undirected,27
7,35,Undirected,28
7,38,Undirected,29
8,17,Undirected,30
8,30,Undirected,31
8,38,Undirected,32
8,40,Undirected,33
10,15,Undirected,35
10,33,Undirected,36
10,39,Undirected,37
11,15,Undirected,38
12,22,Undirected,39
12,36,Undirected,40
13,32,Undirected,41
13,36,Undirected,42
13,42,Undirected,43
14,15,Undirected,44
14,20,Undirected,45
14,25,Undirected,46
14,29,Undirected,47
14,41,Undirected,48
14,43,Undirected,49
15,25,Undirected,50
15,31,Undirected,51
15,33,Undirected,52
15,43,Undirected,53
16,26,Undirected,54
17,35,Undirected,55
17,38,Undirected,56
17,39,Undirected,57
17,40,Undirected,58
17,45,Undirected,59
20,37,Undirected,60
20,40,Undirected,61
20,43,Undirected,62
20,47,Undirected,63
21,30,Undirected,64
21,26,Undirected,65
21,38,Undirected,66
22,24,Undirected,67
22,36,Undirected,68
23,43,Undirected,69
24,33,Undirected,70
24,36,Undirected,71
26,38,Undirected,72
28,35,Undirected,73
28,45,Undirected,74
30,38,Undirected,75
42,32,Undirected,90
32,36,Undirected,77
33,36,Undirected,78
33,39,Undirected,89
33,45,Undirected,80
34,41,Undirected,81
35,38,Undirected,82
35,45,Undirected,83
36,45,Undirected,84
39,45,Undirected,85
44,16,Undirected,86
44,7,Undirected,87
19,46,Undirected,88
